rollout_idx,non_provision,1.5x,2.0x,2.5x,3.0x
0,1299.9459647593842,3749.8407678095946,4873.048410052642,5537.159389900262,6138.9134782673855
1,1436.7448123355746,3196.591603475013,4374.426494550062,4376.413901469366,4348.36245135082
2,1399.9733889198194,3350.6578130844514,4094.828354231224,4224.6927618725485,3988.337407761424
